user_id,country1_count,country2_count,country3_count,country4_count,country5_count,country6_count,country7_count,country8_count,country9_count,country10_count,country1_norm_count,country2_norm_count,country3_norm_count,country4_norm_count,country5_norm_count,country6_norm_count,country7_norm_count,country8_norm_count,country9_norm_count,country10_norm_count
0,17,9,40,29,42,14,41,24,1,10,0.8397312933416248,0.6039752073186686,0.532830465592527,0.5292209360989167,0.5036664315888308,0.4587546137207667,0.4351238747869372,0.4332122507098969,0.3739712382244932,0.3622813156029087
1,17,9,42,40,41,29,24,36,7,20,0.6882707607945338,0.4544709916267053,0.382805793454139,0.3127145595136446,0.3025225058817098,0.2750486982802127,0.211304371502962,0.1920099531589789,0.1877790080467212,0.1589862901701637
2,17,42,9,28,29,41,24,40,14,10,0.7657440671575524,0.6091673422071117,0.5600113784911994,0.5566027808277577,0.4952148701427989,0.4629005853264065,0.4279716414995703,0.4077465158744724,0.3611641461554753,0.3542500495011881
3,17,9,42,29,40,41,24,10,7,36,0.7459024300127677,0.5322358458068822,0.4857441386618486,0.4168051303932734,0.3837510890016962,0.3589003641409716,0.2855449103978903,0.2612105645729794,0.2562471732264124,0.2429330774986553
4,17,42,9,29,41,24,40,10,36,20,0.9136294139213296,0.7621829660577899,0.7157945037194495,0.6403670841603321,0.5985653545236967,0.5983870099685097,0.596227423739766,0.4995098352341104,0.4755228173851004,0.446614427367102
5,17,9,42,29,40,41,24,36,20,7,0.7522304413360315,0.5094829550454036,0.4895332865862004,0.3996793725960613,0.376983801485979,0.3518604948196201,0.3221601605504341,0.228085421228846,0.228085421228846,0.2216324633816948
6,17,9,42,40,29,7,24,41,10,6,0.683930093100942,0.4477665088166019,0.3456855240066748,0.3323714282789177,0.3060100767035412,0.228085421228846,0.2148397232048564,0.1961065596176279,0.1693143820488966,0.1534947267183929
7,17,9,42,29,41,24,40,20,10,36,0.7967711239289768,0.5960458160178288,0.5960458160178288,0.4952148701427989,0.4664221522662414,0.4560940603875085,0.4218097790591802,0.3589003641409716,0.3221601605504341,0.3042780739851188
8,17,9,42,29,40,24,41,36,10,20,0.8316180218063507,0.6330751856622127,0.6060099238325312,0.528302553110668,0.4522746447231848,0.4131076778344614,0.4013336550646657,0.3901810730634869,0.3530608036160227,0.3392001256150069
9,17,9,40,41,29,42,24,7,14,1,0.8001031281258388,0.541435804709122,0.4245847734333202,0.4238965997213654,0.4153388388741649,0.4085261693953892,0.2933674426738766,0.2933674426738766,0.2510851942836842,0.2429330774986553
11,17,9,42,40,29,7,41,24,10,30,0.7301272915932234,0.5600113784911994,0.4477665088166019,0.4312718793307132,0.3666557096072461,0.298938045800484,0.2510851942836842,0.2510851942836842,0.2311947828933231,0.2148397232048564
12,17,9,40,29,41,7,42,1,37,32,0.6352392995374373,0.3622813156029087,0.2148397232048564,0.1920099531589789,0.1920099531589789,0.1589862901701637,0.1534947267183929,0.0983406572664588,0.0894383507802624,0.0695479393899013
13,17,9,42,40,29,41,7,24,10,1,0.7650102323920982,0.5298295799875166,0.4245847734333202,0.3945853321912387,0.3865461209976072,0.3622813156029087,0.3143376282744478,0.2342309762739366,0.2311947828933231,0.228085421228846
14,17,4,42,9,10,29,41,24,40,6,0.6785784063692252,0.4649246623621981,0.4370075909445143,0.4363827361392005,0.3251610461554446,0.3221601605504341,0.2933674426738766,0.2814483039392413,0.2705988688658718,0.1961065596176279
15,17,9,42,29,40,24,41,7,10,20,0.8015527352893754,0.5832561061817118,0.484886778264066,0.4299618958442092,0.4021529102939071,0.3221601605504341,0.2705988688658718,0.2683150523407873,0.2612105645729794,0.258752732829159
16,17,9,42,29,40,41,10,1,7,24,0.7129617086383889,0.540321048184712,0.3837510890016962,0.3542500495011881,0.3042780739851188,0.2076694194370824,0.1961065596176279,0.1877790080467212,0.1788767015605248,0.1741841020554979
17,17,9,41,42,40,29,14,7,24,19,0.6621404110637876,0.3963057878815862,0.3405235450639468,0.2814483039392413,0.258752732829159,0.2457080718727953,0.1693143820488966,0.1589862901701637,0.1417564321130607,0.1218660207226995
18,17,9,41,42,24,29,40,14,10,7,0.8220804743998398,0.5969513093137302,0.5893316402791499,0.532830465592527,0.4796194238437493,0.4741278603919784,0.4533774913098777,0.4460345060981796,0.3633888954947556,0.3221601605504341
19,17,42,9,29,40,24,41,36,20,19,0.6415220300971868,0.4477665088166019,0.441900395711019,0.3175237720091085,0.2895154472176524,0.258752732829159,0.2400970893795195,0.1877790080467212,0.1642536445904804,0.1477590151045918
20,17,9,40,29,42,7,41,10,1,30,0.7593948887853217,0.4853161705576209,0.3883763965807464,0.3456855240066748,0.3365118561898934,0.2510851942836842,0.2429330774986553,0.1788767015605248,0.1534947267183929,0.1354609267139229
21,17,9,42,40,29,7,36,24,41,10,0.7348612144821539,0.5674800678834107,0.4325686969312677,0.4168051303932734,0.3808941693770985,0.3077191383133359,0.2536919953707429,0.2457080718727953,0.2429330774986553,0.2429330774986553
