movie_id,country_1_id,country_2_id,country_3_id
449,9,17.0,
450,41,,
451,17,,
452,17,,
453,9,,
454,17,,
455,40,14.0,33.0
456,4,10.0,
457,17,,
458,17,,
459,20,17.0,
460,17,,
461,9,17.0,
462,17,,
463,17,,
464,17,,
465,17,,
466,17,,
467,17,,
468,17,,
469,17,,
470,17,,
471,9,17.0,
472,21,,
473,17,,
474,14,,
475,17,,
476,17,,
477,17,,
478,20,,
479,37,20.0,
480,17,,
481,17,,
482,24,17.0,
483,17,,
484,42,9.0,17.0
485,17,,
486,40,9.0,17.0
487,9,17.0,
488,17,,
489,17,,
490,17,,
491,17,,
492,17,,
493,41,,
494,17,,
495,17,,
496,17,,
497,42,17.0,
498,9,17.0,
499,40,17.0,
500,17,,
501,17,,
502,17,,
503,17,,
504,9,17.0,
505,17,,
506,9,,
507,19,,
508,9,17.0,29.0
509,17,,
510,9,17.0,
511,17,,
512,17,,
513,17,,
514,17,,
515,17,,
516,17,,
517,41,,
518,17,,
519,17,,
520,17,,
521,17,,
522,40,17.0,
523,17,,
524,17,,
525,17,,
526,17,,
527,24,17.0,
528,41,17.0,42.0
529,17,,
530,17,,
531,17,,
532,17,,
533,17,,
534,42,9.0,17.0
535,17,,
536,17,,
537,17,,
538,17,,
539,17,,
540,17,,
541,9,17.0,
542,17,,
543,17,,
544,17,,
545,17,,
546,7,17.0,
547,17,,
548,17,,
549,17,9.0,
550,9,17.0,
551,26,29.0,24.0
552,15,20.0,37.0
553,17,,
554,17,,
555,17,,
556,17,29.0,
557,17,,
558,35,,
559,17,,
560,17,,
561,17,,
562,17,,
563,17,,
564,17,,
565,41,,
566,17,,
567,9,17.0,
568,17,,
569,9,30.0,17.0
570,41,,
571,21,,
572,17,,
573,17,,
574,9,17.0,
575,24,,
576,17,,
577,29,17.0,
578,9,,
579,17,,
580,17,,
581,17,,
582,17,,
583,17,,
584,17,,
585,29,17.0,
586,17,,
587,17,,
588,17,,
589,28,17.0,
590,17,43.0,
591,17,,
592,40,17.0,
593,9,,
594,17,9.0,
595,30,32.0,17.0
596,17,,
597,17,,
598,17,,
599,9,17.0,
600,9,17.0,
601,17,,
602,10,,
603,41,,
604,28,42.0,29.0
605,14,17.0,
606,17,,
607,9,17.0,
608,6,17.0,
609,17,,
610,17,,
611,30,9.0,17.0
612,41,,
613,17,,
614,17,,
615,9,17.0,
616,21,,
617,17,,
618,17,,
619,17,,
620,17,,
621,17,,
622,17,9.0,
623,9,,
624,17,,
625,17,,
626,17,,
627,17,,
628,17,,
629,17,,
630,17,,
631,9,,
632,1,17.0,
633,17,,
634,17,,
635,17,,
636,17,,
637,9,17.0,
638,17,,
639,29,17.0,
640,17,,
641,17,,
642,17,,
643,17,,
644,9,17.0,
645,17,9.0,
646,17,,
647,9,17.0,
648,17,,
649,19,,
650,17,,
651,9,17.0,
652,17,24.0,10.0
653,17,,
654,17,,
655,42,,
656,17,,
657,17,,
658,24,48.0,
659,17,,
660,41,,
661,42,29.0,
662,17,,
663,17,,
664,17,,
665,17,,
666,17,,
667,40,42.0,63.0
668,9,17.0,
669,9,,
670,17,,
671,9,17.0,
672,17,,
673,17,,
674,9,,
675,9,,
676,9,17.0,
677,42,,
678,17,,
679,30,9.0,
680,17,,
681,17,,
682,29,,
683,17,,
684,9,17.0,
685,17,,
686,9,17.0,
687,17,,
688,17,,
689,17,,
690,17,,
691,9,17.0,
692,17,,
693,42,,
694,17,,
695,17,,
696,17,,
697,17,,
698,17,,
699,17,,
700,17,,
701,17,,
702,9,17.0,
703,17,,
704,17,,
705,17,,
706,17,,
707,30,9.0,17.0
708,26,17.0,
709,17,,
710,17,,
711,28,42.0,
712,17,,
713,17,,
714,75,36.0,42.0
715,2,17.0,
716,35,,
717,2,17.0,
718,40,17.0,
719,27,17.0,
720,19,,
721,9,17.0,
722,17,,
723,17,,
724,17,,
725,42,10.0,17.0
726,9,17.0,30.0
727,29,17.0,
728,17,,
729,17,,
730,29,41.0,
731,9,17.0,
732,9,17.0,
733,13,17.0,
734,9,,
735,36,42.0,17.0
736,17,,
737,17,,
738,17,,
739,32,17.0,
740,17,,
741,1,9.0,17.0
742,37,43.0,20.0
743,17,,
744,17,,
745,17,,
746,17,,
747,17,,
748,37,42.0,29.0
749,17,,
750,17,,
751,17,,
752,17,,
753,42,27.0,30.0
754,17,,
755,17,,
756,17,,
757,9,29.0,42.0
758,9,17.0,
759,17,,
760,17,,
761,6,,
762,17,,
763,19,,
764,13,9.0,17.0
765,17,,
766,29,9.0,17.0
767,8,9.0,17.0
768,17,,
769,17,,
770,17,,
771,9,,
772,29,17.0,
773,17,,
774,17,,
775,17,,
776,30,9.0,17.0
777,42,,
778,1,17.0,
779,17,,
780,20,,
781,9,17.0,
782,17,,
783,32,17.0,
784,17,,
785,17,,
786,17,,
787,17,,
788,17,,
789,17,,
790,17,,
791,17,,
792,42,5.0,
793,17,,
794,17,,
795,41,42.0,
796,41,,
797,28,17.0,
798,19,,
799,24,,
800,17,,
801,17,,
802,17,,
803,17,,
804,36,42.0,17.0
805,17,,
