director_id,user_id,watch_count,normalized_watch_count
567,0,35,0.4250462695521529
567,18,25,0.3549784377305916
567,32,73,0.5801895747552679
567,41,18,0.2874437349748375
567,56,29,0.38578997938336873
567,57,23,0.3377441632236085
567,116,45,0.4778244407604167
567,153,34,0.4189806997974829
567,159,21,0.3190094402256551
567,182,12,0.20573450120317954
567,186,103,0.6534663107854157
567,266,56,0.5239897778307943
567,352,111,0.669422756692547
567,383,103,0.6534663107854157
567,403,34,0.4189806997974829
567,427,32,0.4063115465541995
567,436,26,0.36310443935328535
567,479,19,0.2984878730548242
567,530,18,0.2874437349748375
567,534,39,0.4477318095822363
567,556,17,0.27580233302474083
567,583,7,0.10119812036765191
567,632,46,0.4824550168010637
567,636,24,0.34653368921458433
567,657,42,0.4633034234171089
567,700,84,0.6100290448377212
567,702,37,0.4366876715022497
567,729,25,0.3549784377305916
567,792,8,0.12655839649732886
567,829,13,0.22169094711031073
549,0,24,0.34653368921458433
549,199,13,0.22169094711031073
549,257,16,0.2634953556231368
549,435,16,0.2634953556231368
549,496,13,0.22169094711031073
549,571,15,0.250442056895064
549,713,18,0.2874437349748375
289,0,23,0.3377441632236085
289,2,22,0.3285805042330045
289,3,21,0.3190094402256551
289,5,16,0.2634953556231368
289,6,11,0.18850022669619643
289,7,28,0.3784905180736093
289,8,31,0.39968599342247607
289,9,33,0.4127392921505489
289,11,19,0.2984878730548242
289,12,24,0.34653368921458433
289,13,28,0.3784905180736093
289,14,19,0.2984878730548242
289,15,24,0.34653368921458433
289,16,20,0.30899305343885525
289,18,25,0.3549784377305916
289,20,12,0.20573450120317954
289,21,18,0.2874437349748375
289,22,20,0.30899305343885525
289,24,30,0.39285007047713366
289,25,18,0.2874437349748375
289,26,16,0.2634953556231368
289,28,31,0.39968599342247607
289,29,22,0.3285805042330045
289,30,22,0.3285805042330045
289,31,21,0.3190094402256551
289,32,20,0.30899305343885525
289,33,7,0.10119812036765191
289,34,13,0.22169094711031073
289,35,21,0.3190094402256551
289,36,23,0.3377441632236085
289,39,13,0.22169094711031073
289,40,18,0.2874437349748375
289,41,24,0.34653368921458433
289,44,25,0.3549784377305916
289,45,32,0.4063115465541995
289,46,18,0.2874437349748375
289,47,40,0.45304846210494637
289,49,15,0.250442056895064
289,50,18,0.2874437349748375
289,51,26,0.36310443935328535
289,52,25,0.3549784377305916
289,54,25,0.3549784377305916
289,55,13,0.22169094711031073
289,58,20,0.30899305343885525
289,59,8,0.12655839649732886
289,60,40,0.45304846210494637
289,62,23,0.3377441632236085
289,63,25,0.3549784377305916
289,64,33,0.4127392921505489
289,66,20,0.30899305343885525
289,67,19,0.2984878730548242
289,68,14,0.23654604285595665
289,69,18,0.2874437349748375
289,70,24,0.34653368921458433
289,71,24,0.34653368921458433
289,72,19,0.2984878730548242
289,74,14,0.23654604285595665
289,77,36,0.43094563822785587
289,78,20,0.30899305343885525
289,79,25,0.3549784377305916
289,80,25,0.3549784377305916
289,81,15,0.250442056895064
289,82,22,0.3285805042330045
289,83,22,0.3285805042330045
289,84,28,0.3784905180736093
289,85,29,0.38578997938336873
289,86,20,0.30899305343885525
289,89,10,0.1697655036982429
289,91,15,0.250442056895064
289,92,13,0.22169094711031073
289,93,21,0.3190094402256551
289,94,16,0.2634953556231368
289,95,35,0.4250462695521529
289,96,11,0.18850022669619643
289,98,36,0.43094563822785587
289,99,24,0.34653368921458433
289,100,34,0.4189806997974829
289,101,16,0.2634953556231368
289,102,18,0.2874437349748375
289,103,31,0.39968599342247607
289,105,34,0.4189806997974829
289,106,13,0.22169094711031073
289,108,12,0.20573450120317954
289,110,12,0.20573450120317954
289,111,24,0.34653368921458433
289,112,10,0.1697655036982429
289,113,28,0.3784905180736093
289,114,30,0.39285007047713366
289,115,16,0.2634953556231368
289,117,21,0.3190094402256551
289,119,26,0.36310443935328535
289,120,12,0.20573450120317954
289,121,19,0.2984878730548242
289,123,27,0.3709348836377228
289,124,20,0.30899305343885525
289,125,35,0.4250462695521529
289,126,15,0.250442056895064
289,129,24,0.34653368921458433
289,130,16,0.2634953556231368
289,131,16,0.2634953556231368
289,133,17,0.27580233302474083
289,134,12,0.20573450120317954
289,136,29,0.38578997938336873
289,137,28,0.3784905180736093
289,139,17,0.27580233302474083
289,142,27,0.3709348836377228
289,143,29,0.38578997938336873
289,144,33,0.4127392921505489
289,145,21,0.3190094402256551
289,147,35,0.4250462695521529
289,149,12,0.20573450120317954
289,150,21,0.3190094402256551
289,151,21,0.3190094402256551
289,152,12,0.20573450120317954
289,153,35,0.4250462695521529
289,155,19,0.2984878730548242
289,156,17,0.27580233302474083
289,157,31,0.39968599342247607
289,159,14,0.23654604285595665
289,160,33,0.4127392921505489
289,164,14,0.23654604285595665
289,165,23,0.3377441632236085
