movie_id,actor_1_id,actor_2_id,actor_3_id,actor_4_id,actor_5_id
1,3855.0,4149.0,4504.0,4679.0,3630.0
2,427.0,2088.0,3638.0,3653.0,4752.0
3,3784.0,3544.0,4041.0,3745.0,3372.0
4,699.0,724.0,3814.0,4295.0,1632.0
5,2539.0,3751.0,3926.0,4244.0,4573.0
6,3415.0,3951.0,531.0,4699.0,4092.0
7,4175.0,1015.0,4426.0,3072.0,3886.0
8,153.0,1572.0,532.0,145.0,4408.0
9,830.0,4744.0,2909.0,650.0,4381.0
10,2101.0,167.0,3549.0,3984.0,3758.0
11,3568.0,1468.0,1818.0,2691.0,2392.0
12,3783.0,4594.0,4825.0,324.0,1482.0
13,438.0,1306.0,4850.0,4035.0,2883.0
14,656.0,4513.0,3310.0,3260.0,1098.0
15,765.0,732.0,3201.0,770.0,1637.0
16,325.0,724.0,2467.0,4723.0,1488.0
17,3633.0,4683.0,2364.0,4797.0,2855.0
18,724.0,213.0,2473.0,1923.0,364.0
19,455.0,4780.0,4320.0,3160.0,4146.0
20,339.0,2820.0,4782.0,3194.0,3076.0
21,218.0,71.0,92.0,2855.0,4597.0
22,3836.0,3590.0,4482.0,3500.0,4165.0
23,602.0,4502.0,573.0,4526.0,4397.0
24,324.0,364.0,1178.0,9.0,3570.0
25,4346.0,4430.0,4257.0,4201.0,1485.0
26,487.0,4187.0,3170.0,461.0,772.0
27,1196.0,1590.0,4489.0,4323.0,2635.0
28,3338.0,3494.0,1693.0,4214.0,188.0
29,2438.0,455.0,651.0,637.0,2611.0
30,2527.0,4852.0,1022.0,2015.0,1851.0
31,704.0,350.0,404.0,564.0,3308.0
32,3116.0,1449.0,865.0,1306.0,3663.0
33,1147.0,4399.0,261.0,2981.0,113.0
34,4697.0,461.0,4820.0,1762.0,3488.0
35,661.0,3729.0,4099.0,3618.0,4681.0
36,237.0,1456.0,1437.0,569.0,3339.0
37,4546.0,4655.0,3775.0,4514.0,4215.0
38,4423.0,1818.0,3346.0,3534.0,4378.0
39,634.0,531.0,706.0,317.0,97.0
40,3160.0,2011.0,50.0,410.0,3462.0
41,3169.0,4535.0,3290.0,3945.0,4618.0
42,17.0,1798.0,3297.0,4103.0,4661.0
43,3260.0,1889.0,368.0,2141.0,3126.0
44,557.0,3886.0,3596.0,124.0,359.0
45,58.0,4177.0,4442.0,292.0,3044.0
46,4415.0,635.0,2925.0,3396.0,4603.0
47,4250.0,4496.0,4190.0,3448.0,3976.0
48,308.0,4357.0,4138.0,3539.0,4537.0
49,3643.0,449.0,4600.0,2474.0,3550.0
50,370.0,2938.0,2791.0,3682.0,2012.0
51,455.0,4803.0,3576.0,481.0,2783.0
52,71.0,4335.0,3424.0,4086.0,3437.0
53,3850.0,4179.0,4452.0,3248.0,3116.0
54,657.0,1632.0,4688.0,3522.0,3899.0
55,656.0,4812.0,20.0,3765.0,2524.0
56,4670.0,3328.0,4370.0,3706.0,3872.0
57,770.0,555.0,3636.0,3160.0,4663.0
58,2215.0,1534.0,3919.0,4487.0,470.0
59,1315.0,388.0,3643.0,3753.0,3774.0
60,370.0,461.0,651.0,1637.0,4692.0
61,3656.0,4740.0,4061.0,4637.0,602.0
62,1437.0,1456.0,3339.0,569.0,3801.0
63,659.0,4771.0,4546.0,3840.0,350.0
64,4317.0,455.0,151.0,2479.0,616.0
65,531.0,659.0,345.0,1088.0,1441.0
66,377.0,350.0,4052.0,4532.0,2519.0
67,325.0,677.0,511.0,4714.0,17.0
68,4385.0,1856.0,715.0,1553.0,339.0
69,4578.0,174.0,216.0,3063.0,4498.0
70,513.0,3893.0,4689.0,1359.0,4324.0
71,4547.0,624.0,3386.0,3786.0,3924.0
72,268.0,4068.0,3624.0,2823.0,2251.0
