cast_id,user_id,watch_count,normalized_watch_count
151,78,31,0.280957350783421
151,79,46,0.37381142578857374
151,80,56,0.42040701987134044
151,81,31,0.280957350783421
151,82,48,0.38387740371852197
151,84,36,0.31602584966030967
151,85,44,0.36330766157664784
151,86,41,0.3466425359261287
151,89,29,0.2653681668449074
151,91,34,0.30260303463730076
151,92,35,0.3094076681337352
151,93,49,0.38875733766924625
151,94,45,0.36861663385501886
151,95,52,0.4028321058949502
151,96,18,0.15503885302643294
151,98,35,0.3094076681337352
151,99,54,0.41177937006157916
151,100,85,0.5197549647450047
151,101,31,0.280957350783421
151,102,37,0.32246752513959975
151,103,45,0.36861663385501886
151,105,52,0.4028321058949502
151,108,55,0.41613171330755505
151,110,28,0.257179297382797
151,111,36,0.31602584966030967
151,112,18,0.15503885302643294
151,113,67,0.4630298102663769
151,114,53,0.4073471628654759
151,115,30,0.2732884998536118
151,116,65,0.4558188713504069
151,117,51,0.39823104268710496
151,118,30,0.2732884998536118
151,119,37,0.32246752513959975
151,120,27,0.24870304119438813
151,123,42,0.352326292631838
151,125,51,0.39823104268710496
151,129,42,0.352326292631838
151,130,23,0.21146817340199475
151,131,30,0.2732884998536118
151,132,45,0.36861663385501886
151,133,35,0.3094076681337352
151,134,23,0.21146817340199475
151,136,48,0.38387740371852197
151,137,36,0.31602584966030967
151,138,100,0.5585894974233595
151,139,31,0.280957350783421
151,142,32,0.2883901992372403
151,143,53,0.4073471628654759
151,144,63,0.4483860228965878
151,145,36,0.31602584966030967
151,146,32,0.2883901992372403
151,147,62,0.4445820306578693
151,149,40,0.34082180812802765
151,150,49,0.38875733766924625
151,151,44,0.36330766157664784
151,152,20,0.1792138638129619
151,153,66,0.4594512482959666
151,155,38,0.3287418653056786
151,156,50,0.39354063288495056
151,157,82,0.5111783768770807
151,160,40,0.34082180812802765
151,162,31,0.280957350783421
151,164,23,0.21146817340199475
151,165,68,0.46655612858675954
151,167,38,0.3287418653056786
151,168,15,0.11352867867025418
151,169,29,0.2653681668449074
151,170,57,0.4246079694959638
151,171,38,0.3287418653056786
151,172,28,0.257179297382797
151,173,32,0.2883901992372403
151,174,48,0.38387740371852197
151,175,29,0.2653681668449074
151,176,47,0.37889684551516145
151,177,27,0.24870304119438813
151,179,36,0.31602584966030967
151,180,21,0.19045070450549972
151,181,77,0.4961705374188453
151,182,35,0.3094076681337352
151,183,38,0.3287418653056786
151,184,13,0.08127436908122132
151,185,53,0.4073471628654759
151,186,39,0.3348573442263336
151,187,31,0.280957350783421
151,189,31,0.280957350783421
151,190,59,0.4327968389580741
151,191,31,0.280957350783421
151,192,59,0.4327968389580741
151,193,65,0.4558188713504069
151,194,33,0.2956011381532101
151,196,36,0.31602584966030967
151,198,35,0.3094076681337352
151,199,47,0.37889684551516145
151,200,42,0.352326292631838
151,201,29,0.2653681668449074
151,202,41,0.3466425359261287
