movie_id,language_id
1,9
2,13
3,24
4,13
5,13
6,13
7,13
8,13
9,13
10,13
11,13
12,13
13,13
14,13
15,13
16,13
17,13
18,13
19,13
20,13
21,13
22,13
23,13
24,13
25,16
26,13
27,13
28,13
29,13
30,13
31,13
32,13
33,13
34,13
35,13
36,13
37,46
38,13
39,13
40,13
41,13
42,13
43,13
44,13
45,13
46,9
47,13
48,13
49,13
50,13
51,13
52,13
53,13
54,13
55,13
56,46
57,13
58,13
59,13
60,13
61,13
62,13
63,13
64,13
65,13
66,13
67,13
68,13
69,13
70,13
71,13
72,13
73,13
74,13
75,13
76,13
77,13
78,13
79,13
80,13
81,13
82,42
83,13
84,13
85,13
86,13
87,13
88,13
89,13
90,42
91,13
92,13
93,13
94,41
95,13
96,13
97,13
98,13
99,13
100,13
101,13
102,13
103,13
104,13
105,13
106,13
107,13
108,13
109,5
110,13
111,13
112,13
113,13
114,13
115,13
116,13
117,9
118,13
119,13
120,13
121,13
122,13
123,13
124,13
125,5
126,13
127,13
128,13
129,13
130,13
131,13
132,13
133,13
134,13
135,13
136,13
137,13
138,9
139,13
140,13
141,13
142,13
143,13
144,13
145,13
146,29
147,13
148,13
149,13
150,13
151,13
152,13
153,13
154,13
155,13
156,13
157,13
158,13
159,13
160,46
161,13
162,9
163,13
164,13
165,13
166,13
167,13
168,13
169,13
170,13
171,13
172,13
173,13
174,13
175,38
176,13
177,13
178,13
179,13
180,13
181,13
182,13
183,9
184,13
185,13
186,13
187,13
188,13
189,13
190,29
191,9
192,13
193,13
194,13
195,9
196,13
197,13
198,13
199,13
200,13
201,13
202,13
203,13
204,13
205,46
206,13
207,13
208,13
209,13
210,13
211,13
212,16
213,13
214,38
215,13
216,9
217,13
218,44
219,13
220,13
221,13
222,13
223,29
224,13
225,13
226,13
227,13
228,13
229,13
230,13
231,44
232,13
233,13
234,13
235,13
236,13
237,13
238,13
239,13
240,13
241,13
242,13
243,13
244,13
245,13
246,13
247,13
248,13
249,13
250,13
251,13
252,13
253,13
254,13
255,13
256,13
257,13
258,13
259,13
260,5
261,13
262,13
263,13
264,13
265,13
266,13
267,13
268,13
269,13
270,13
271,13
272,13
273,44
274,13
275,13
276,13
277,13
278,13
279,13
280,13
281,13
282,13
283,13
284,13
285,13
286,13
287,13
288,13
289,13
290,9
291,13
292,13
293,9
294,13
295,13
296,13
297,13
298,13
299,13
300,13
301,13
302,13
303,42
304,13
305,13
306,13
307,13
308,13
309,42
310,13
311,13
312,13
313,13
314,13
315,13
316,13
317,13
318,13
319,13
320,13
321,13
322,13
323,13
324,46
325,13
326,13
327,13
328,13
329,13
330,13
331,13
332,13
333,13
334,13
335,6
336,13
337,13
338,13
339,13
340,13
341,13
342,13
343,13
344,13
345,13
346,13
